Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Mental_Status,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Crime_Qualifier,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0000-2016-DWQ,Civilian,CA0010000,Male,White,,21-25,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Head, Arms/hands",FALSE,,TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,None,TRUE,69 PC OBSTRUCT/RESIST EXEC OFF (FELONY),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-DWQ,Officer,CA0010000,Male,Asian / Pacific Islander,Japanese,51-55,TRUE,Injury,Abrasion/Laceration,No medical assistance or refused assistance,,Front legs/feet,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-DWQ,Officer,CA0010000,Male,Hispanic,,36-40,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,(Not applicable),,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To prevent escape, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-FEC,Civilian,CA0010000,Female,White,,36-40,TRUE,Serious bodily injury,Bone fracture,Medical assistance - treated at facility and released,FALSE,"Head, Arms/hands",FALSE,,TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,None,FALSE,148(A)(1) PC OBSTRUCT/ETC PUB OFCR/ETC (MISDEMEANOR),,TRUE,Unknown,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-FEC,Officer,CA0010000,Male,Hispanic,,36-40,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-MAJ,Civilian,CA0010000,Male,White,,36-40,TRUE,Serious bodily injury,"Unconscious, Abrasion/Laceration",Admitted to hospital - precautionary measure only,FALSE,"Neck/throat, Arms/hands",FALSE,,TRUE,"Carotid restraint control hold, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,"Signs of mental disability, Signs of drug impairment",TRUE,148(A)(1) PC OBSTRUCT/ETC PUB OFCR/ETC (MISDEMEANOR),,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-MAJ,Officer,CA0010000,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-MAJ,Officer,CA0010000,Male,White,,31-35,FALSE,,,,,Arms/hands,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-PCD,Civilian,CA0010000,Male,Black,,41-45,TRUE,Serious bodily injury,"Unconscious, Abrasion/Laceration",Medical assistance - treated at facility and released,FALSE,Neck/throat,FALSE,,TRUE,"Carotid restraint control hold, Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,Signs of mental disability,TRUE,243(B) PC BATT PO/EMERG PRSNL/ETC (MISDEMEANOR),,FALSE,,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-PCD,Officer,CA0010000,Female,Hispanic,,31-35,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Head, Front upper torso/chest",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Utility
URSUS-01-0000-2016-PCD,Officer,CA0010000,Male,White,,26-30,TRUE,Injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,Front upper torso/chest,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To overcome resistance,TRUE,Utility
URSUS-01-0000-2016-TMU,Civilian,CA0010000,Male,Asian Indian,,18-20,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Front upper torso/chest, Arms/hands",,,TRUE,K-9 contact,FALSE,FALSE,None,FALSE,243(E)(1) PC BAT:SPOUSE/EX SP/DATE/ETC (MISDEMEANOR),,TRUE,"Firearm, Unknown",,TRUE,Passive non-compliance,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-TMU,Officer,CA0010000,Male,White,,36-40,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To effect arrest or take into custody,TRUE,Utility
URSUS-01-0000-2016-TNR,Civilian,CA0010000,Male,White,,56-60,TRUE,Serious bodily injury,"Abrasion/Laceration, Obvious disfigurement",Medical assistance - treated at facility and released,FALSE,"Front upper torso/chest, Arms/hands, Front legs/feet",,,TRUE,K-9 contact,FALSE,FALSE,Signs of drug impairment,FALSE,2800.2(A) VC EVADE PO:DISREGARD SAFETY (FELONY),,TRUE,Unknown,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-TNR,Officer,CA0010000,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Utility
URSUS-01-0000-2016-UBJ,Civilian,CA0010000,Male,Black,,36-40,TRUE,Serious bodily injury,Obvious disfigurement,No medical assistance or refused assistance,,Rear legs,,,TRUE,"Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,Signs of mental disability,FALSE,236 PC FALSE IMPRISON W/VIOLENCE (FELONY) VIO,,FALSE,,,TRUE,Active resistance,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-UBJ,Officer,CA0010000,Male,White,,31-35,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,To prevent escape,TRUE,Patrol Uniform
URSUS-01-0000-2016-VDW,Civilian,CA0010000,Male,Hispanic,,36-40,TRUE,Serious bodily injury,"Bone fracture, Abrasion/Laceration",Medical assistance - treated at facility and released,FALSE,"Head, Front upper torso/chest, Rear upper torso/back, Rear lower torso/back",FALSE,,TRUE,"Other control hold/takedown, Other physical contact (Use of hands, fists, feet, etc)",FALSE,FALSE,"Signs of mental disability, Signs of drug impairment",TRUE,69 PC OBSTRUCT/RESIST EXEC OFF (FELONY),,TRUE,Unknown,,TRUE,Assaultive,In custody (other),FALSE,,,,,,
URSUS-01-0000-2016-VDW,Officer,CA0010000,Male,"Asian Indian, White",,26-30,FALSE,,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-VDW,Officer,CA0010000,Male,White,,31-35,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Arms/hands, Front legs/feet",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0000-2016-VDW,Officer,CA0010000,Male,White,,31-35,TRUE,Serious bodily injury,Abrasion/Laceration,Medical assistance - treated at facility and released,FALSE,"Arms/hands, Front legs/feet",,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
URSUS-01-0200-2016-UNF,Civilian,CA0010200,Male,White,,41-45,TRUE,Serious bodily injury,Bone fracture,Admitted to hospital - precautionary measure only,FALSE,"Arms/hands, Front legs/feet",,,TRUE,Other control hold/takedown,FALSE,FALSE,None,TRUE,243(b) PC,,FALSE,,,TRUE,Assaultive,Cited and released,FALSE,,,,,,
URSUS-01-0200-2016-UNF,Officer,CA0010200,Male,Asian / Pacific Islander,Vietnamese,31-35,FALSE,,,,,Front upper torso/chest,,,TRUE,Civilian physical contact,FALSE,FALSE,,,,,,,,,,,,,,TRUE,"To effect arrest or take into custody, To overcome resistance",TRUE,Patrol Uniform
