County,Population
Alameda,"1,629,233"
Alpine,"1,160"
Amador,"37,667"
Butte,"224,703"
Calaveras,"45,246"
Colusa,"21,965"
Contra Costa,"1,126,824"
Del Norte,"27,006"
El Dorado,"184,371"
Fresno,"985,079"
Glenn,"28,639"
Humboldt,"135,557"
Imperial,"186,080"
Inyo,"18,632"
Kern,"886,803"
Kings,"149,822"
Lake,"64,790"
Lassen,"30,841"
Los Angeles,"10,182,961"
Madera,"154,933"
Marin,"263,150"
Mariposa,"18,167"
Mendocino,"88,771"
Merced,"271,547"
Modoc,"9,620"
Mono,"13,654"
Monterey,"438,171"
Napa,"141,888"
Nevada,"98,609"
Orange,"3,172,152"
Placer,"376,203"
Plumas,"19,837"
Riverside,"2,348,213"
Sacramento,"1,496,619"
San Benito,"56,621"
San Bernardino,"2,135,724"
San Diego,"3,286,717"
San Francisco,"864,889"
San Joaquin,"735,677"
San Luis Obispo,"278,480"
San Mateo,"765,895"
Santa Barbara,"447,295"
Santa Clara,"1,922,619"
Santa Cruz,"275,557"
Shasta,"178,232"
Sierra,"3,194"
Siskiyou,"44,722"
Solano,"430,972"
Sonoma,"502,604"
Stanislaus,"541,466"
Sutter,"96,614"
Tehama,"63,942"
Trinity,"13,647"
Tulare,"466,563"
Tuolumne,"54,949"
Ventura,"853,893"
Yolo,"215,522"
Yuba,"74,328"
